X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-70.9653699996789,41.9849159998742,618398,MM-0277-S,,Bridgewater,Bridgewater - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),41.984916,-70.96537,CR-zone-6,,https://www.mbta.com/stops/place-MM-0277,,0,place-MM-0277,1,Bridgewater,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-70.9184439996613,41.8782099996425,618400,MM-0356-S,,Middleborough/Lakeville,Middleborough/Lakeville - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),41.87821,-70.918444,CR-zone-8,,https://www.mbta.com/stops/place-MM-0356,,0,place-MM-0356,1,Lakeville,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.1302829997004,42.2874419999401,618402,NB-0064-S,,Roslindale Village,Roslindale Village - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.287442,-71.130283,CR-zone-1,,https://www.mbta.com/stops/place-NB-0064,,0,place-NB-0064,1,Boston,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.1455570000515,42.2865880002073,618404,NB-0072-S,,Bellevue,Bellevue - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.286588,-71.145557,CR-zone-1,,https://www.mbta.com/stops/place-NB-0072,,0,place-NB-0072,1,Boston,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.1539370003174,42.2849689998576,618406,NB-0076-S,,Highland,Highland - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.284969,-71.153937,CR-zone-1,,https://www.mbta.com/stops/place-NB-0076,,0,place-NB-0076,1,Boston,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.1600650003912,42.2813580002089,618408,NB-0080-S,,West Roxbury,West Roxbury - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.281358,-71.160065,CR-zone-1,,https://www.mbta.com/stops/place-NB-0080,,0,place-NB-0080,1,Boston,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.2155279996205,42.2756479998167,618410,NB-0109-S,,Hersey,Hersey - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.275648,-71.215528,CR-zone-2,,https://www.mbta.com/stops/place-NB-0109,,0,place-NB-0109,1,Needham,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.2355589999247,42.2731869999246,618413,NB-0120-S,,Needham Junction,Needham Junction - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.273187,-71.235559,CR-zone-2,,https://www.mbta.com/stops/place-NB-0120,,0,place-NB-0120,1,Needham,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.2376859995389,42.2807750004235,618415,NB-0127-S,,Needham Center,Needham Center - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.280775,-71.237686,CR-zone-2,,https://www.mbta.com/stops/place-NB-0127,,0,place-NB-0127,1,Needham,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.2360270004457,42.293443999929,618417,NB-0137-S,,Needham Heights,Needham Heights - Commuter Rail - Track 1 (All Trains),1,Track 1 (All Trains),42.293444,-71.236027,CR-zone-2,,https://www.mbta.com/stops/place-NB-0137,,0,place-NB-0137,1,Needham,,,2,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
