mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,stop_time,stop_name,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 06:16:00+00,Bradford,place-WR-0325,13,0,2,1,2342
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 06:18:00+00,Haverhill,place-WR-0329,14,,1,,2343
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 10:32:00+00,Kingston,place-KB-0351,2,97,,97,2344
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 10:42:00+00,Halifax,place-PB-0281,3,44,0,141,2345
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 10:47:00+00,Hanson,place-PB-0245,4,54,0,195,2346
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 10:52:00+00,Whitman,place-PB-0212,5,30,0,225,2347
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 10:56:00+00,Abington,place-PB-0194,6,82,0,307,2348
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 11:01:00+00,South Weymouth,place-PB-0158,7,70,1,376,2349
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 11:19:00+00,Kingston,place-KB-0351,2,143,,143,2350
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 11:21:00+00,JFK/UMass,place-jfk,10,0,44,332,2351
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 11:29:00+00,Halifax,place-PB-0281,3,67,0,210,2352
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 11:29:00+00,South Station,place-sstat,11,,332,,2353
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 11:34:00+00,Hanson,place-PB-0245,4,93,0,303,2354
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 11:39:00+00,Whitman,place-PB-0212,5,87,1,389,2355
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 11:43:00+00,Abington,place-PB-0194,6,131,0,520,2356
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,0,day_type_01,weekday,2018/01/01 11:49:00+00,South Weymouth,place-PB-0158,7,140,0,660,2357
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/02 01:26:00+00,Kingston,place-KB-0351,10,,39,,2358
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 00:56:00+00,Melrose Cedar Park,place-WR-0067,4,0,6,116,2359
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 00:59:00+00,Melrose Highlands,place-WR-0075,5,0,7,109,2360
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 01:02:00+00,Greenwood,place-WR-0085,6,0,9,100,2361
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/02 02:30:00+00,South Station,place-sstat,1,75,,75,2362
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 01:06:00+00,Wakefield,place-WR-0099,7,0,11,89,2363
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/02 02:36:00+00,JFK/UMass,place-jfk,2,0,2,73,2364
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 01:07:00+00,Bradford,place-WR-0325,13,0,8,10,2365
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/02 02:48:00+00,Braintree,place-brntn,4,3,6,70,2366
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 01:12:00+00,Reading,place-WR-0120,8,0,16,73,2367
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/02 02:55:00+00,South Weymouth,place-PB-0158,5,1,7,64,2368
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/02 03:00:00+00,Abington,place-PB-0194,6,0,17,47,2369
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 01:17:00+00,Haverhill,place-WR-0329,14,,10,,2370
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/02 03:03:00+00,Whitman,place-PB-0212,7,0,14,33,2371
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 01:18:00+00,North Wilmington,place-WR-0163,9,0,5,68,2372
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/02 03:08:00+00,Hanson,place-PB-0245,8,0,6,27,2373
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 01:25:00+00,Ballardvale,place-WR-0205,10,0,14,54,2374
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/02 03:13:00+00,Halifax,place-PB-0281,9,0,10,17,2375
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 01:30:00+00,Andover,place-WR-0228,11,1,14,41,2376
2,Spring 2018,CR-Kingston,Kingston/Plymouth Line,1,day_type_01,weekday,2018/01/02 03:26:00+00,Kingston,place-KB-0351,10,,17,,2377
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 01:37:00+00,Lawrence,place-WR-0264,12,7,16,32,2378
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 01:46:00+00,Bradford,place-WR-0325,13,0,13,19,2379
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 01:48:00+00,Haverhill,place-WR-0329,14,,19,,2380
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 02:20:00+00,North Station,place-north,1,83,,83,2381
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 02:31:00+00,Malden Center,place-mlmnl,2,4,0,87,2382
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 02:34:00+00,Wyoming Hill,place-WR-0062,3,0,1,86,2383
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 02:36:00+00,Melrose Cedar Park,place-WR-0067,4,0,4,82,2384
2,Spring 2018,CR-Haverhill,Haverhill Line,1,day_type_01,weekday,2018/01/02 02:39:00+00,Melrose Highlands,place-WR-0075,5,0,3,79,2385
