mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,stop_time,stop_name,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 10:39:00+00,Readville,place-DB-0095,1,5,0,5,1
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 10:42:00+00,Fairmount,place-DB-2205,2,7,0,12,2
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 10:47:00+00,Morton Street,place-DB-2230,3,9,1,20,3
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 10:50:00+00,Talbot Avenue,place-DB-2240,4,5,1,24,4
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 10:53:00+00,Four Corners/Geneva,place-DB-2249,5,6,1,29,5
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 10:56:00+00,Uphams Corner,place-DB-2258,6,1,0,30,6
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 10:59:00+00,Newmarket,place-DB-2265,7,0,4,26,7
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:09:00+00,South Station,place-sstat,8,,26,,8
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:25:00+00,Readville,place-DB-0095,1,13,,13,9
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:28:00+00,Fairmount,place-DB-2205,2,54,0,67,10
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:33:00+00,Morton Street,place-DB-2230,3,19,0,86,11
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:36:00+00,Talbot Avenue,place-DB-2240,4,18,0,104,12
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:39:00+00,Four Corners/Geneva,place-DB-2249,5,9,4,109,13
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:42:00+00,Uphams Corner,place-DB-2258,6,7,1,115,14
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:45:00+00,Newmarket,place-DB-2265,7,0,8,107,15
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 11:55:00+00,South Station,place-sstat,8,,107,,16
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:15:00+00,Readville,place-DB-0095,1,44,,44,17
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:18:00+00,Fairmount,place-DB-2205,2,128,0,172,18
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:23:00+00,Morton Street,place-DB-2230,3,33,2,203,19
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:26:00+00,Talbot Avenue,place-DB-2240,4,54,0,257,20
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:29:00+00,Four Corners/Geneva,place-DB-2249,5,42,1,298,21
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:32:00+00,Uphams Corner,place-DB-2258,6,16,0,314,22
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:35:00+00,Newmarket,place-DB-2265,7,4,7,311,23
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:45:00+00,South Station,place-sstat,8,,311,,24
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:55:00+00,Readville,place-DB-0095,1,26,,26,25
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 12:58:00+00,Fairmount,place-DB-2205,2,179,0,205,26
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:03:00+00,Morton Street,place-DB-2230,3,33,0,238,27
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:06:00+00,Talbot Avenue,place-DB-2240,4,21,0,259,28
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:09:00+00,Four Corners/Geneva,place-DB-2249,5,18,,277,29
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:12:00+00,Uphams Corner,place-DB-2258,6,24,0,301,30
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:15:00+00,Newmarket,place-DB-2265,7,2,9,294,31
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:25:00+00,South Station,place-sstat,8,,294,,32
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:45:00+00,Readville,place-DB-0095,1,17,,17,33
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:48:00+00,Fairmount,place-DB-2205,2,34,0,51,34
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:53:00+00,Morton Street,place-DB-2230,3,14,0,65,35
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:56:00+00,Talbot Avenue,place-DB-2240,4,15,2,78,36
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 13:59:00+00,Four Corners/Geneva,place-DB-2249,5,15,6,87,37
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 14:02:00+00,Uphams Corner,place-DB-2258,6,5,1,91,38
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 14:05:00+00,Newmarket,place-DB-2265,7,0,6,85,39
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 14:15:00+00,South Station,place-sstat,8,,85,,40
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 15:00:00+00,Readville,place-DB-0095,1,2,,2,41
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 15:03:00+00,Fairmount,place-DB-2205,2,17,0,19,42
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 15:08:00+00,Morton Street,place-DB-2230,3,11,0,30,43
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 15:11:00+00,Talbot Avenue,place-DB-2240,4,3,2,31,44
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 15:14:00+00,Four Corners/Geneva,place-DB-2249,5,5,1,35,45
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 15:17:00+00,Uphams Corner,place-DB-2258,6,2,3,34,46
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 15:20:00+00,Newmarket,place-DB-2265,7,1,2,33,47
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 15:30:00+00,South Station,place-sstat,8,,33,,48
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 16:00:00+00,Readville,place-DB-0095,1,11,,11,49
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 16:03:00+00,Fairmount,place-DB-2205,2,8,0,19,50
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 21:29:00+00,Four Corners/Geneva,place-DB-2249,5,2,7,21,51
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 21:32:00+00,Uphams Corner,place-DB-2258,6,3,9,15,52
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 21:35:00+00,Newmarket,place-DB-2265,7,6,3,18,53
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 21:45:00+00,South Station,place-sstat,8,,18,,54
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 22:00:00+00,Readville,place-DB-0095,1,22,,22,55
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 22:03:00+00,Fairmount,place-DB-2205,2,19,2,39,56
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 22:08:00+00,Morton Street,place-DB-2230,3,2,5,36,57
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 22:11:00+00,Talbot Avenue,place-DB-2240,4,3,4,35,58
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 22:14:00+00,Four Corners/Geneva,place-DB-2249,5,2,7,30,59
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 22:17:00+00,Uphams Corner,place-DB-2258,6,1,12,19,60
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 22:20:00+00,Newmarket,place-DB-2265,7,0,2,17,61
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 22:30:00+00,South Station,place-sstat,8,,17,,62
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 22:45:00+00,Readville,place-DB-0095,1,4,,4,63
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 22:48:00+00,Fairmount,place-DB-2205,2,6,0,10,64
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 22:53:00+00,Morton Street,place-DB-2230,3,0,0,10,65
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 22:56:00+00,Talbot Avenue,place-DB-2240,4,3,2,11,66
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 22:59:00+00,Four Corners/Geneva,place-DB-2249,5,2,1,12,67
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 23:02:00+00,Uphams Corner,place-DB-2258,6,1,2,11,68
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 23:05:00+00,Newmarket,place-DB-2265,7,1,4,8,69
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 23:15:00+00,South Station,place-sstat,8,,8,,70
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 23:25:00+00,Readville,place-DB-0095,1,1,,1,71
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 23:30:00+00,Readville,place-DB-0095,1,9,0,9,72
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 23:33:00+00,Fairmount,place-DB-2205,2,4,1,12,73
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 23:38:00+00,Morton Street,place-DB-2230,3,0,2,10,74
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 23:41:00+00,Talbot Avenue,place-DB-2240,4,0,2,8,75
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 23:44:00+00,Four Corners/Geneva,place-DB-2249,5,0,0,8,76
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 23:45:00+00,South Station,place-sstat,8,,1,,77
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 23:47:00+00,Uphams Corner,place-DB-2258,6,0,0,8,78
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/01 23:50:00+00,Newmarket,place-DB-2265,7,0,0,8,79
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 00:00:00+00,South Station,place-sstat,8,,8,,80
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 00:15:00+00,Readville,place-DB-0095,1,3,,3,81
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 00:24:00+00,Fairmount,place-DB-2205,2,2,0,5,82
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 00:27:00+00,Morton Street,place-DB-2230,3,3,0,8,83
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 00:30:00+00,Talbot Avenue,place-DB-2240,4,0,1,7,84
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 00:33:00+00,Four Corners/Geneva,place-DB-2249,5,0,1,6,85
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 00:36:00+00,Uphams Corner,place-DB-2258,6,0,3,3,86
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 00:40:00+00,Newmarket,place-DB-2265,7,0,2,1,87
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 00:45:00+00,South Station,place-sstat,8,,1,,88
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 01:00:00+00,Readville,place-DB-0095,1,0,,0,89
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 01:03:00+00,Fairmount,place-DB-2205,2,0,0,0,90
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 01:08:00+00,Morton Street,place-DB-2230,3,1,0,1,91
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 01:11:00+00,Talbot Avenue,place-DB-2240,4,2,0,3,92
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 01:14:00+00,Four Corners/Geneva,place-DB-2249,5,,,3,93
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 01:17:00+00,Uphams Corner,place-DB-2258,6,,,3,94
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 01:20:00+00,Newmarket,place-DB-2265,7,0,1,2,95
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 01:30:00+00,South Station,place-sstat,8,,2,,96
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 02:00:00+00,Readville,place-DB-0095,1,4,,4,97
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 02:03:00+00,Fairmount,place-DB-2205,2,0,1,3,98
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 02:08:00+00,Morton Street,place-DB-2230,3,0,0,3,99
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 02:11:00+00,Talbot Avenue,place-DB-2240,4,0,0,3,100
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 02:14:00+00,Four Corners/Geneva,place-DB-2249,5,0,1,2,101
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 02:17:00+00,Uphams Corner,place-DB-2258,6,0,2,0,102
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 02:20:00+00,Newmarket,place-DB-2265,7,0,0,0,103
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 02:30:00+00,South Station,place-sstat,8,,0,,104
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 02:45:00+00,Readville,place-DB-0095,1,2,,2,105
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 02:48:00+00,Fairmount,place-DB-2205,2,0,0,2,106
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 02:53:00+00,Morton Street,place-DB-2230,3,1,0,3,107
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 02:56:00+00,Talbot Avenue,place-DB-2240,4,0,0,3,108
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 02:59:00+00,Four Corners/Geneva,place-DB-2249,5,0,0,3,109
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 03:02:00+00,Uphams Corner,place-DB-2258,6,0,2,1,110
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 03:05:00+00,Newmarket,place-DB-2265,7,0,0,1,111
2,Spring 2018,CR-Fairmount,Fairmount Line,0,day_type_01,weekday,2018/01/02 03:15:00+00,South Station,place-sstat,8,,1,,112
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 11:24:00+00,South Station,place-sstat,1,7,,7,113
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 11:33:00+00,Newmarket,place-DB-2265,2,2,0,9,114
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 11:36:00+00,Uphams Corner,place-DB-2258,3,16,0,25,115
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 11:39:00+00,Four Corners/Geneva,place-DB-2249,4,12,3,34,116
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 11:42:00+00,Talbot Avenue,place-DB-2240,5,11,0,45,117
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 11:45:00+00,Morton Street,place-DB-2230,6,10,8,47,118
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 11:49:00+00,Fairmount,place-DB-2205,7,0,36,11,119
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 11:54:00+00,Readville,place-DB-0095,8,,11,,120
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 12:10:00+00,South Station,place-sstat,1,6,,6,121
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 12:19:00+00,Newmarket,place-DB-2265,2,1,0,7,122
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 12:22:00+00,Uphams Corner,place-DB-2258,3,35,0,42,123
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 12:25:00+00,Four Corners/Geneva,place-DB-2249,4,52,18,76,124
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 12:28:00+00,Talbot Avenue,place-DB-2240,5,25,0,101,125
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 12:31:00+00,Morton Street,place-DB-2230,6,15,39,77,126
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 12:35:00+00,Fairmount,place-DB-2205,7,2,41,38,127
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 12:40:00+00,Readville,place-DB-0095,8,,38,,128
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 13:00:00+00,South Station,place-sstat,1,12,,12,129
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 13:09:00+00,Newmarket,place-DB-2265,2,1,1,12,130
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 13:12:00+00,Uphams Corner,place-DB-2258,3,10,2,20,131
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 13:15:00+00,Four Corners/Geneva,place-DB-2249,4,6,4,22,132
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 13:18:00+00,Talbot Avenue,place-DB-2240,5,0,3,19,133
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 13:21:00+00,Morton Street,place-DB-2230,6,2,7,14,134
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 13:25:00+00,Fairmount,place-DB-2205,7,0,8,6,135
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 13:30:00+00,Readville,place-DB-0095,8,,6,,136
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 13:40:00+00,South Station,place-sstat,1,9,,9,137
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 13:49:00+00,Newmarket,place-DB-2265,2,0,0,9,138
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 13:52:00+00,Uphams Corner,place-DB-2258,3,3,1,11,139
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 13:55:00+00,Four Corners/Geneva,place-DB-2249,4,2,3,10,140
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 13:58:00+00,Talbot Avenue,place-DB-2240,5,1,0,11,141
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 14:01:00+00,Morton Street,place-DB-2230,6,1,2,10,142
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 14:05:00+00,Fairmount,place-DB-2205,7,0,5,5,143
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 14:10:00+00,Readville,place-DB-0095,8,,5,,144
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 14:45:00+00,South Station,place-sstat,1,2,,2,145
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 14:54:00+00,Newmarket,place-DB-2265,2,0,0,2,146
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 14:57:00+00,Uphams Corner,place-DB-2258,3,1,1,2,147
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 15:00:00+00,Four Corners/Geneva,place-DB-2249,4,3,0,5,148
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 15:03:00+00,Talbot Avenue,place-DB-2240,5,0,0,5,149
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/01 15:06:00+00,Morton Street,place-DB-2230,6,0,2,3,150
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 02:12:00+00,Uphams Corner,place-DB-2258,3,1,1,23,151
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 02:15:00+00,Four Corners/Geneva,place-DB-2249,4,4,8,19,152
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 02:18:00+00,Talbot Avenue,place-DB-2240,5,0,7,12,153
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 02:21:00+00,Morton Street,place-DB-2230,6,0,1,11,154
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 02:25:00+00,Fairmount,place-DB-2205,7,0,9,2,155
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 02:30:00+00,Readville,place-DB-0095,8,,2,,156
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 03:00:00+00,South Station,place-sstat,1,11,,11,157
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 03:08:00+00,Newmarket,place-DB-2265,2,1,0,12,158
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 03:15:00+00,Uphams Corner,place-DB-2258,3,0,1,11,159
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 03:21:00+00,Four Corners/Geneva,place-DB-2249,4,0,1,10,160
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 03:26:00+00,Talbot Avenue,place-DB-2240,5,0,3,7,161
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 03:31:00+00,Morton Street,place-DB-2230,6,0,5,2,162
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 03:43:00+00,Fairmount,place-DB-2205,7,0,2,0,163
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 03:50:00+00,Readville,place-DB-0095,8,,0,,164
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 04:00:00+00,South Station,place-sstat,1,10,,10,165
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 04:08:00+00,Newmarket,place-DB-2265,2,0,1,9,166
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 04:15:00+00,Uphams Corner,place-DB-2258,3,0,3,6,167
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 04:21:00+00,Four Corners/Geneva,place-DB-2249,4,3,3,6,168
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 04:26:00+00,Talbot Avenue,place-DB-2240,5,0,0,6,169
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 04:31:00+00,Morton Street,place-DB-2230,6,0,1,5,170
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 04:43:00+00,Fairmount,place-DB-2205,7,0,1,4,171
2,Spring 2018,CR-Fairmount,Fairmount Line,1,day_type_01,weekday,2018/01/02 04:50:00+00,Readville,place-DB-0095,8,,4,,172
2,Spring 2018,CR-Fitchburg,Fitchburg Line,0,day_type_01,weekday,2018/01/01 09:50:00+00,Wachusett,place-FR-3338,1,11,,11,173
2,Spring 2018,CR-Fitchburg,Fitchburg Line,0,day_type_01,weekday,2018/01/01 09:58:00+00,Fitchburg,place-FR-0494,2,6,0,17,174
2,Spring 2018,CR-Fitchburg,Fitchburg Line,0,day_type_01,weekday,2018/01/01 10:04:00+00,North Leominster,place-FR-0451,3,30,0,47,175
2,Spring 2018,CR-Fitchburg,Fitchburg Line,0,day_type_01,weekday,2018/01/01 10:12:00+00,Shirley,place-FR-0394,4,20,0,67,176
2,Spring 2018,CR-Fitchburg,Fitchburg Line,0,day_type_01,weekday,2018/01/01 10:17:00+00,Ayer,place-FR-0361,5,12,0,79,177
2,Spring 2018,CR-Fitchburg,Fitchburg Line,0,day_type_01,weekday,2018/01/01 10:25:00+00,Littleton/Rte 495,place-FR-0301,6,26,0,105,178
2,Spring 2018,CR-Fitchburg,Fitchburg Line,0,day_type_01,weekday,2018/01/01 10:32:00+00,South Acton,place-FR-0253,7,71,0,176,179
2,Spring 2018,CR-Fitchburg,Fitchburg Line,0,day_type_01,weekday,2018/01/01 10:36:00+00,West Concord,place-FR-0219,8,10,1,185,180
